1,0,0
2,5.75,2.3211
3,31.1,11.9996
4,89,32.9211
5,136.3,49.0215
6,263.65,88.8573
7,383.45,129.513
8,642.05,211.372
9,892,390.216
10,1232.45,434.408
11,1510.45,802.341
12,1801.8,476.341
13,2811.2,1039.6
14,2889.2,1006.34
15,3705.55,1096.66
16,3932.7,1464.65
17,4345.85,1493.8
18,5562.85,2100.71
19,6619.45,2465.52
20,7183,2428.17
21,6934.2,1644.71
22,8611.8,3301.62
23,9931.75,2099.79
24,11159.6,3423.71
25,12184,2997.33
26,12180.3,4157.43
27,15815.9,7443.17
28,14464.8,4321.6
29,18229.3,5823.46
30,18154.3,5728.29
31,21076.3,5918.01
32,23333,5466.28
33,24782.3,7847.81
34,25548.8,6935.33
35,31179.2,9134.81
36,30646.5,11894.2
37,33002.8,12884.7
38,35267.3,9301.89
39,36735.8,10565.9
40,36067.7,8657.02
41,45880.3,8704.16
42,42197.6,11908.7
43,45399.2,7894.48
44,45770.8,11480.3
45,47225.1,11828
46,50914.8,10607.8
47,59609.3,12697.9
48,65338.9,18156.6
49,56872.3,12567.8
50,62452.4,14076.4
