0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,6,3,11,10,3,5,4,4,3,6,10,4,8,6,5,4,7,4,3,4,8,6,5,4,5,3,5,9,9,6,4,9,3,3,4,7,5,5,5,4,9,3,4,3,3,3,6,4,7,
12,27,16,18,32,40,36,18,22,47,19,27,18,89,27,44,57,47,20,11,46,24,15,33,21,18,54,28,26,26,29,21,26,36,42,12,56,22,28,25,51,54,62,20,30,38,21,35,23,32,
73,87,39,76,160,95,42,45,39,192,66,41,123,190,36,77,54,70,68,138,71,107,86,57,80,60,97,50,76,69,67,198,91,55,118,63,77,61,75,35,88,111,85,100,62,51,51,42,77,65,
194,249,232,308,146,122,91,395,126,116,139,95,121,121,243,115,139,153,212,115,336,69,155,178,79,116,122,175,180,196,64,106,232,158,123,141,121,78,162,58,147,235,144,96,193,248,157,333,68,160,
201,222,385,204,499,336,286,461,271,193,201,154,340,408,496,185,240,197,230,215,549,185,257,308,194,173,210,207,224,281,207,250,301,330,380,271,339,312,306,152,295,177,358,326,186,248,286,210,303,510,
665,389,148,375,664,878,219,443,264,586,513,348,687,340,842,657,311,311,304,863,404,497,499,176,621,483,285,191,265,388,559,276,397,367,641,805,534,155,1667,463,308,376,562,391,970,359,415,826,292,220,
313,431,534,418,547,730,373,883,394,610,635,565,1065,699,919,704,623,641,480,577,754,831,603,1052,564,536,343,502,584,977,564,524,746,349,544,490,727,728,678,511,354,737,658,1131,493,500,430,525,491,615,
540,965,651,1163,764,889,699,729,1173,1167,875,735,864,1515,1073,901,991,389,681,886,722,965,1265,574,417,784,1925,759,740,1043,848,794,927,628,548,982,689,580,474,518,1530,967,897,1034,784,620,626,1628,1070,708,
1330,713,1429,1437,1079,1330,1002,852,954,1708,524,1528,874,1056,1258,1052,710,1016,1023,517,761,865,849,1270,1376,1000,806,1200,783,2837,1270,1145,531,1521,1072,1455,954,1429,519,718,1645,1211,729,1814,797,2001,1114,1064,1176,1697,
1316,1905,1216,1267,1396,1134,623,3370,1352,1313,1722,1972,1416,1505,2364,2193,1183,1569,1698,887,2173,1408,1261,960,1735,1906,1442,1636,3316,1506,1675,691,656,1435,1432,1338,1052,924,853,1534,919,1476,1220,1763,1099,965,681,2419,1726,1289,
1901,1568,995,1146,1470,2386,1246,1735,2859,1778,1786,2018,1178,2417,1589,1369,1565,5536,1859,2004,2335,1843,1890,1443,2078,1553,1347,1623,1889,1374,1426,2192,2457,1030,1287,1466,2228,1583,2938,1324,1318,2500,1542,1752,1947,2746,1965,1359,2481,3802,
4319,2109,2306,2118,1559,3730,3554,1186,3294,2222,2749,1580,1929,1397,2363,1556,1489,3371,2861,2150,2142,3299,2188,1392,4367,1609,1103,1509,1976,2092,2408,1435,1590,1755,3301,2194,2366,1776,2013,3312,2159,2049,2840,1758,1672,3190,2113,1383,6168,2328,
2975,2545,1970,2398,2857,1768,3622,3543,1754,2078,2297,7027,2552,5038,1475,3251,1782,2130,5130,3360,3266,1599,4364,2713,2102,4687,4123,3917,4192,3820,3049,1769,2149,2153,2075,2993,2063,3750,4377,2217,2732,1406,2203,3651,2463,2096,2904,2437,1887,4548,
1681,2061,6376,3275,5572,4326,2654,4708,3032,2586,3976,3110,2888,3692,3348,4135,4616,3840,3496,2554,3062,5416,2391,6451,3384,3452,2155,3298,3536,3237,2048,3248,2260,2509,2619,3295,2750,3267,2128,2896,1937,3979,2467,2533,4325,2470,2178,3056,2340,4242,
3068,3179,3504,2105,3237,2894,3738,3734,3210,2613,2429,2390,2955,9246,4746,8868,4371,2659,4071,5904,3220,7433,2529,3217,3071,2691,2842,4401,3111,2320,4360,2219,2681,4652,3917,3038,3196,3014,4528,9024,4184,3703,3732,2941,2967,5286,2460,2925,2969,5526,
4475,9500,5586,5705,5710,3134,4178,3653,9339,4681,11987,5959,3417,2859,3010,1700,3426,8469,5006,3053,2094,3840,3830,4270,4112,3857,2600,6400,5129,6493,3967,9154,2563,6275,3778,4011,3914,7179,5053,4492,3645,5423,5190,4747,4825,2607,2619,5298,8871,4108,
4501,4326,5441,4581,6041,6302,3680,4567,6886,5063,3762,5668,5282,3210,5872,4947,3223,3360,9428,4539,7655,3766,9199,7679,3820,4461,4006,5436,3947,6829,4567,6703,3954,6346,4988,2808,9502,2737,5139,5379,7719,3966,4269,8997,7381,5292,7242,5230,5278,4445,
4995,10745,11293,12054,8068,3867,4180,6548,6374,5061,4931,5510,3139,4519,7704,9605,10696,7983,5261,8910,4479,6395,8231,5182,6054,4992,3813,7600,5419,4179,6536,8760,4818,8986,6774,4275,4916,8007,4853,5053,4877,4235,5758,4874,3766,4154,4990,3771,5277,5282,
6771,5989,6238,4356,7535,6142,4198,10905,6610,5777,7555,6327,4515,6421,6728,11642,8058,7479,4868,5077,4428,8588,7302,5623,7185,10190,4825,4993,10795,11305,12100,6023,4372,5793,5281,7712,5055,5746,4753,4551,6888,4400,8890,6273,4740,7956,7340,8509,10640,6943,
11308,9128,9091,7056,7530,10867,11461,3735,7481,9493,7778,4787,7035,11346,8905,6883,4852,4531,5561,8937,9536,5675,7038,8074,8434,7733,6106,6399,6049,6204,3723,5358,5357,12822,8091,10521,4471,7511,7984,11615,8235,10571,6676,20120,5222,12135,6033,5061,5576,4222,
8376,6051,6945,15592,11942,11040,8200,7246,8700,10594,7582,11228,7135,9206,8504,9544,8613,7604,6152,6101,8271,8487,7818,11348,9067,7781,7573,5454,4304,10744,5604,7665,6348,9616,12488,9217,7319,10224,7826,7077,10447,5140,10845,11591,5770,10244,8352,8378,6435,10001,
10198,20676,6236,7669,8067,8909,10353,5827,8871,8501,10608,19934,10536,10819,13381,7589,11276,8451,9682,7912,9267,7774,12275,10958,9544,9688,6041,7412,8646,8289,6860,7326,6554,12109,7652,9392,8212,5983,14406,7384,5796,10249,4680,8657,8240,10036,5512,12387,4895,12592,
13873,9594,8683,15948,14739,11963,5920,8355,9615,7549,15046,6320,12894,11533,8832,10987,8734,10651,7861,8742,17557,8144,12170,7931,11984,11683,16426,7071,8625,13977,7573,6248,8675,11056,20061,8566,10910,16641,9835,9812,9785,7820,14535,14330,8515,8075,13766,9589,17003,12408,
10924,11361,8587,10668,10093,8606,12901,16932,9944,13179,13061,12422,7889,11158,16365,11633,13282,15123,12794,14674,15645,18158,7638,6149,6262,14616,14969,9145,12479,8993,10457,11297,7125,7927,11247,10717,20211,9540,12267,11140,16966,17177,8536,9088,9261,10006,10091,8499,12984,16934,
29307,10263,9410,13790,12144,9586,11510,14903,13413,13851,11307,25983,10249,7951,7582,13047,12581,8701,10692,18095,8466,10954,8715,12445,13409,17053,9886,9577,13123,17816,10746,19864,10507,8944,8677,15012,8633,12899,11619,34641,10283,9411,13799,12141,9605,11512,14883,13423,21881,10033,
29582,9590,10895,15054,8935,14649,19834,13814,12774,13966,16966,16804,8630,12351,9289,9449,10386,27531,14008,9300,12509,8670,14930,12940,18873,15219,13584,11164,18696,18193,11708,13833,12907,21966,39568,9584,10884,15053,9734,13843,19841,13810,12786,13960,16961,16764,8630,7598,13842,17128,
20585,14423,12588,9318,11342,11131,9042,20764,20004,22197,14428,32958,13932,11655,17814,22663,34130,15528,14865,19718,10701,20040,13532,13447,12029,17757,20525,8848,12097,12364,13540,25821,14192,9896,12490,10996,10905,15807,17784,10610,18765,10406,36972,13934,11661,17803,22688,34139,15532,14850,
19759,28554,8945,11040,8963,12393,13917,10902,15997,18348,12444,13655,26613,13836,10300,9126,18635,13178,13604,17291,20603,10525,32598,11903,14293,11931,14036,22702,34179,15534,19248,25616,20532,13492,18679,10981,14774,14839,9849,15706,11355,14580,26589,13935,10206,9458,18317,13190,13605,17290,
18578,16883,37097,14670,12442,17956,21276,19688,14546,18541,21466,20506,26189,12143,14429,20308,27084,26677,14855,30057,13857,13490,17081,17905,16555,17536,18297,16877,37117,13909,13219,17950,17576,37935,15619,17313,27580,26173,12150,14437,20287,11988,15549,26225,14829,30056,13863,13510,16241,13308,
22044,17563,18038,17194,37148,18880,11676,12600,18525,39030,15628,18784,26180,26247,18950,28031,9290,17822,22925,17963,30824,19965,13390,18739,26945,17565,15603,19326,37440,18888,19836,22961,39033,15634,18802,26180,26235,18947,14391,18175,22599,22948,22118,27226,22860,21997,33599,17563,18051,17184,
28501,22632,20597,28308,38049,15942,18536,26549,25926,15328,18156,18336,20460,14741,24421,34503,19981,19813,14061,25414,17425,24080,20665,27041,19601,19839,32759,29327,15698,18784,26543,25924,13881,19612,18332,20470,14773,24422,34486,23458,22039,17960,29445,27794,15293,24392,22597,20619,28314,38048,
30325,49249,18549,15392,25482,26009,25033,21541,21757,19565,20201,14054,25462,17434,24102,21294,27087,19034,19895,32831,29297,30328,49252,18529,22652,18299,25927,25036,24902,18913,19406,13478,19042,11080,15817,17441,24135,17731,22027,23206,20039,26392,40026,30319,49249,18534,15406,25473,26012,25050,
22323,34794,14900,21497,29217,33147,23433,24651,15864,27609,37180,35897,20952,23095,36603,19915,32085,26123,18985,28227,34794,29627,36013,33155,23424,24668,15866,27607,37164,35883,20934,23093,36617,19911,32085,26141,19268,18267,30693,26012,24181,29217,33156,23401,24655,15850,27616,27286,41212,15267,
19061,50920,19980,32283,25984,19371,27567,35293,29545,36058,33175,26396,29877,44180,28810,44730,20696,50890,19977,32286,25979,20541,47513,23749,33382,20781,35023,26378,29862,44195,28806,44741,20687,50883,19959,32286,25980,20540,47509,23748,33387,22666,33177,26384,29868,44174,28796,44733,20707,50875,
20014,32330,26016,19369,27714,35273,24036,41651,33199,26402,21592,16246,36759,27968,59792,65017,27819,20674,21802,19362,27722,35255,19885,26630,27528,24825,26399,21602,16982,36037,27967,59797,65004,27827,20692,18391,22768,27708,35259,24079,41668,33228,26421,21592,16241,36767,27995,59796,65007,27823,
26751,16889,26151,41217,18639,26429,34684,39190,23912,26487,44270,28856,59845,64742,25755,29176,20291,42246,41353,23146,36545,39199,23915,26013,44763,28871,59858,64750,25759,29186,20304,24347,39180,18767,26296,34699,39195,23912,26477,44255,28860,40083,19766,64760,25779,29190,20304,42260,41362,17976,
41753,33274,29847,31268,29727,38402,45229,21064,58741,44207,27329,32746,54726,23548,36168,33282,29833,27392,33646,38400,44088,22234,22855,38817,41288,27327,26246,40976,23819,33486,55937,29836,27360,33636,38391,44071,22236,58763,44213,27325,32726,54746,19369,40356,33256,29845,31270,29740,38391,44088,
34593,54161,36594,27734,30675,41308,22444,30129,55686,29878,28032,33050,38382,45174,33667,54170,36612,27725,30687,50375,24343,41564,51605,39650,33024,38352,45178,23611,64194,36609,27729,30678,50374,24364,41554,51585,39645,33055,38363,45162,33649,54190,36595,27718,30679,41307,22457,33360,52452,29918,
34543,39146,29426,46711,35356,42658,44714,30412,39776,44863,44602,45225,29049,35351,39185,29416,46712,35336,47954,39410,30428,39781,44845,44598,45242,32210,32258,39164,29420,46691,35359,47977,39396,30416,39753,44847,44592,45233,32199,32239,39170,29414,46701,35327,47955,39401,30406,39769,44837,44582,
45279,29082,44844,44860,53088,32978,57755,40010,42105,50041,35617,44002,51504,40309,32407,38535,60235,57816,55034,42116,50042,35642,43984,51529,40316,32399,38528,50507,50610,33048,38960,42119,50029,24176,55298,51676,40324,32395,38554,60242,57809,55038,42136,30638,42245,56641,51669,40304,32395,38549,
68527,59417,45295,42114,28176,44798,33917,56084,29101,44884,32485,59100,32577,65280,39365,42118,49307,24969,32562,56098,29098,44907,32495,29790,61865,65308,39356,42116,49303,24997,32566,56084,29103,44863,32492,63716,30571,62720,39376,42114,28140,44816,33907,56106,29095,44890,32490,58942,35352,62710,
47220,34366,49520,45016,47976,39406,39609,33876,37444,64603,69762,46808,42390,41642,44872,47976,39388,39604,37147,46416,52315,69777,46853,42369,41697,44864,35369,36849,33192,37560,45527,52147,28877,63138,46843,34372,49516,45037,47978,39370,39593,33874,37797,45025,26576,62450,46811,42385,41695,44870,
35398,51606,52460,38762,62665,29091,62829,46978,47465,51026,38431,31379,47668,40081,33934,37799,60537,73412,47020,47457,51022,38421,31381,47671,40069,33942,37733,64355,69810,46813,47475,51018,38425,31381,47660,40091,33924,37455,64624,69819,46836,47466,51042,38427,30155,48900,52467,38752,62622,29051,
78137,54485,61328,28509,64643,39417,55219,34879,85585,69664,35921,48170,47146,28393,64660,39406,55202,34875,85611,69635,35905,48162,47130,28392,64659,39410,42336,34447,46425,52431,69638,35932,34254,60963,28517,64650,39423,55188,29884,38174,52429,69649,35916,48179,47140,27276,65801,39414,55222,34875,
63358,28919,78376,40982,33335,41645,36190,44339,51484,53436,58039,64813,70385,46182,37568,46939,36184,44347,51490,53455,58041,64843,70417,46165,37571,46914,25989,54326,51679,53455,58043,64822,70385,46148,37546,46780,36325,44325,51488,53445,58049,64817,70386,38569,42491,49490,29728,50804,51619,53458,
50664,50036,54556,62325,61958,67909,69829,39464,65760,45369,61001,81325,50810,96119,69821,39473,65772,45401,60988,81342,50832,96108,69824,57505,47771,45405,60992,81292,50839,41343,54748,69814,39450,65785,45404,64854,69673,43819,43036,67922,69821,39467,65788,45409,64846,77446,50830,41348,54723,69807,
58233,37706,66155,53349,77653,50931,96011,58397,50921,46801,75921,53379,77658,50906,96029,58409,50912,53055,69625,53365,77628,50931,96012,58417,50901,53056,69615,49570,81429,50929,96032,58413,50898,53066,69608,53374,69775,48170,106616,58367,50571,53420,69648,49590,81429,50901,96043,58399,50927,53047,
49297,69660,74033,47068,42801,65231,58135,50959,65889,45798,60718,73672,47128,42812,77866,47317,49120,65911,45805,60703,73637,47156,42595,78131,47306,49155,65906,45812,60696,73650,47106,42605,78120,47323,49141,65895,72735,37659,69777,47077,42606,78110,47317,49126,53067,49354,69647,74028,47136,42567,
81591,54950,91182,58614,64568,70261,47472,83574,80515,52401,53144,58633,64583,69991,47705,83562,29955,64853,91140,58625,64567,70230,47448,83576,80526,52427,53145,58648,64572,70260,47460,83564,39888,54972,91168,58628,64571,70003,46718,84591,39864,54962,91195,58608,64551,70258,49089,81933,80522,52410,
